Step,HGPPO_v0,HGPPO_v1,Mean,CI_lower,CI_upper
1536,25.29338455,10.38045597,17.83692026,7.573977620446419,28.099862899553578
3072,24.8741169,13.17753792,19.02582741,10.976347490157984,27.07530732984202
4608,25.81669235,15.06745815,20.442075250000002,13.044549443990434,27.83960105600957
6144,22.89811707,14.89971447,18.898915770000002,13.394487404270093,24.40334413572991
7680,25.16714668,16.35134506,20.75924587,14.69229088779197,26.826200852208032
9216,25.03832245,11.93794155,18.488132,9.472568288837689,27.50369571116231
10752,30.91965675,16.55419922,23.736927985,13.85074997305293,33.623105996947075
12288,30.93084908,16.54669189,23.738770485000003,13.839723536081255,33.637817433918755
13824,30.17070007,14.3686409,22.269670485,11.394836210930025,33.144504759069974
15360,30.13429451,16.03203392,23.083164215,13.378115957925395,32.788212472074605
16896,28.71972084,18.09916115,23.409440995,16.100467823586545,30.718414166413456
18432,30.93676567,16.50069427,23.71872997,13.783956131050925,33.65350380894907
19968,32.23007202,16.60428047,24.417176245,13.663647753598141,35.17070473640186
21504,30.88289642,16.5589962,23.720946310000002,13.863367663127079,33.578524956872926
23040,28.76334953,17.88977051,23.326560020000002,15.84346123291299,30.809658807087015
24576,29.24964333,14.96930695,22.10947514,12.28187673400869,31.93707354599131
26112,33.51476669,17.69873238,25.606749535,14.722297695913847,36.49120137408615
27648,32.22251129,16.25366783,24.23808956,13.248475845240941,35.22770327475906
29184,31.72390366,16.20640945,23.965156555,13.286157314004853,34.64415579599515
